config,seed,study,num_layers,dim,n_loops,steps,supervise,softmax_loss_weight,conflict_loss_weight,bce_pos_mult,bce_neg_mult,approx_params,n_eval,correct,wrong,timeouts,accuracy,model_calls_total,calls_per_solve,avg_rounds_solved,avg_resets,unsound_rate,conflict_precision,conflict_recall,train_post_compile_secs
baseline,0,baseline,4,128,16,2000,all,0.2,0.1,4.0,0.5,65536,1000,996,0,4,0.996,9900,9.939759036144578,72.81224822998047,639.656005859375,0.008534158697105845,0.9982380359563772,0.16351751019057273,465.7808968509997
baseline,1,baseline,4,128,16,2000,all,0.2,0.1,4.0,0.5,65536,1000,997,0,3,0.997,7874,7.897693079237714,57.85456466674805,590.822021484375,0.007526661378456098,0.9963113997214832,0.19923078970482552,392.0162600609998
baseline,2,baseline,4,128,16,2000,all,0.2,0.1,4.0,0.5,65536,1000,982,0,18,0.982,12304,12.529531568228107,79.31568908691406,891.8460693359375,0.007575082274820696,0.9970800006651479,0.1833387045386583,486.26132378399996
baseline,mean,baseline,4,128,16,2000,all,0.2,0.1,4.0,0.5,65536,1000,991.6666666666666,0.0,8.333333333333334,0.9916666666666667,10026.0,10.1223278945368,72.81224822998047,639.656005859375,0.007878634116794214,0.9972098121143361,0.18202900147801884,448.0194935653331
baseline,range,baseline,4,128,16,2000,all,0.2,0.1,4.0,0.5,65536,1000,"[982, 997]","[0, 0]","[3, 18]","[0.982, 0.997]","[7874, 12304]","[7.89769, 12.5295]",72.81224822998047,639.656005859375,"[0.00752666, 0.00853416]","[0.996311, 0.998238]","[0.163518, 0.199231]","[392.016, 486.261]"
d1_L1,0,D1-C1,4,128,1,2000,all,0.2,0.1,4.0,0.5,65536,1000,144,0,856,0.144,113176,785.9444444444445,304.0763854980469,7042.525390625,0.005414229331055943,0.9942709648769005,0.14993185815663934,147.41541098600004
d1_L1,1,D1-C1,4,128,1,2000,all,0.2,0.1,4.0,0.5,65536,1000,206,0,794,0.206,106928,519.0679611650486,279.2232971191406,6691.13916015625,0.00617150048099059,0.993631981735651,0.15052852484082824,140.06655278999995
d1_L1,2,D1-C1,4,128,1,2000,all,0.2,0.1,4.0,0.5,65536,1000,162,0,838,0.162,111781,690.0061728395061,324.4876708984375,6754.6904296875,0.006462989912977605,0.9952108528740433,0.14444247164240281,235.43155086300007
d1_L1,mean,D1-C1,4,128,1,2000,all,0.2,0.1,4.0,0.5,65536,1000,170.66666666666666,0.0,829.3333333333334,0.17066666666666666,110628.33333333333,665.006192816333,304.0763854980469,7042.525390625,0.006016239908341378,0.9943712664955315,0.14830095154662346,174.30450487966667
d1_L1,range,D1-C1,4,128,1,2000,all,0.2,0.1,4.0,0.5,65536,1000,"[144, 206]","[0, 0]","[794, 856]","[0.144, 0.206]","[106928, 113176]","[519.068, 785.944]",304.0763854980469,7042.525390625,"[0.00541423, 0.00646299]","[0.993632, 0.995211]","[0.144442, 0.150529]","[140.067, 235.432]"
d1_L2,0,D1-C1,4,128,2,2000,all,0.2,0.1,4.0,0.5,65536,1000,426,0,574,0.426,84041,197.2793427230047,221.45774841308594,4926.92822265625,0.0069400727526719875,0.9987634272191634,0.13991980716988195,153.332630198
d1_L2,1,D1-C1,4,128,2,2000,all,0.2,0.1,4.0,0.5,65536,1000,399,0,601,0.399,86614,217.07769423558898,219.53634643554688,5602.60546875,0.007383799171030352,0.9958521248161727,0.15745708512324225,334.06080576
d1_L2,2,D1-C1,4,128,2,2000,all,0.2,0.1,4.0,0.5,65536,1000,424,0,576,0.424,83928,197.9433962264151,214.4882049560547,6357.66943359375,0.005524196182310131,0.9927395718873231,0.19163973003637513,163.97211555499996
d1_L2,mean,D1-C1,4,128,2,2000,all,0.2,0.1,4.0,0.5,65536,1000,416.3333333333333,0.0,583.6666666666666,0.4163333333333334,84861.0,204.10014439500296,221.45774841308594,4926.92822265625,0.006616022702004156,0.9957850413075531,0.16300554077649979,217.1218505043333
d1_L2,range,D1-C1,4,128,2,2000,all,0.2,0.1,4.0,0.5,65536,1000,"[399, 426]","[0, 0]","[574, 601]","[0.399, 0.426]","[83928, 86614]","[197.279, 217.078]",221.45774841308594,4926.92822265625,"[0.0055242, 0.0073838]","[0.99274, 0.998763]","[0.13992, 0.19164]","[153.333, 334.061]"
d1_L4,0,D1-C1,4,128,4,2000,all,0.2,0.1,4.0,0.5,65536,1000,931,0,69,0.931,29379,31.55639097744361,172.7787322998047,2027.22314453125,0.007365710640192786,0.9973928254327448,0.17349745156303992,205.5585260289999
d1_L4,1,D1-C1,4,128,4,2000,all,0.2,0.1,4.0,0.5,65536,1000,925,5,70,0.925,29423,31.80864864864865,171.9290313720703,1957.672119140625,0.00997945205788533,0.9973236742195024,0.16704527635895555,222.16362898399993
d1_L4,2,D1-C1,4,128,4,2000,all,0.2,0.1,4.0,0.5,65536,1000,902,0,98,0.902,34192,37.90687361419069,188.2250518798828,2441.3720703125,0.004981358247531837,0.995844345158905,0.1812617689158744,211.06034000499997
d1_L4,mean,D1-C1,4,128,4,2000,all,0.2,0.1,4.0,0.5,65536,1000,919.3333333333334,1.6666666666666667,79.0,0.9193333333333333,30998.0,33.75730441342765,172.7787322998047,2027.22314453125,0.007442173648536651,0.9968536149370507,0.17393483227928996,212.92749833933325
d1_L4,range,D1-C1,4,128,4,2000,all,0.2,0.1,4.0,0.5,65536,1000,"[902, 931]","[0, 5]","[69, 98]","[0.902, 0.931]","[29379, 34192]","[31.5564, 37.9069]",172.7787322998047,2027.22314453125,"[0.00498136, 0.00997945]","[0.995844, 0.997393]","[0.167045, 0.181262]","[205.559, 222.164]"
d1_L8,0,D1-C1,4,128,8,2000,all,0.2,0.1,4.0,0.5,65536,1000,980,0,20,0.98,15817,16.139795918367348,105.63060760498047,1034.7091064453125,0.0033731791169479236,0.9980795773346066,0.16392239848252746,227.23912571
d1_L8,1,D1-C1,4,128,8,2000,all,0.2,0.1,4.0,0.5,65536,1000,999,0,1,0.999,6972,6.978978978978979,52.682682037353516,495.85302734375,0.006173101462347976,0.996692847468202,0.18850161894594314,446.42629695799997
d1_L8,2,D1-C1,4,128,8,2000,all,0.2,0.1,4.0,0.5,65536,1000,984,0,16,0.984,13608,13.829268292682928,90.54979705810547,988.1700439453125,0.005407832969701737,0.9968048590973903,0.1884486909470469,477.41175738599986
d1_L8,mean,D1-C1,4,128,8,2000,all,0.2,0.1,4.0,0.5,65536,1000,987.6666666666666,0.0,12.333333333333334,0.9876666666666667,12132.333333333334,12.316014396676417,105.63060760498047,1034.7091064453125,0.004984704516332546,0.9971924279667329,0.18029090279183915,383.6923933513333
d1_L8,range,D1-C1,4,128,8,2000,all,0.2,0.1,4.0,0.5,65536,1000,"[980, 999]","[0, 0]","[1, 20]","[0.98, 0.999]","[6972, 15817]","[6.97898, 16.1398]",105.63060760498047,1034.7091064453125,"[0.00337318, 0.0061731]","[0.996693, 0.99808]","[0.163922, 0.188502]","[227.239, 477.412]"
