config,passes_label,pass_index,deduced,unsound,unsound_rate
o3_d2,2 passes,0,55386372,400151,0.007224719467092013
o3_d2,2 passes,1,2508086,359373,0.14328575654901785
o3_d4,4 passes,0,44863877,270630,0.006032247279921884
o3_d4,4 passes,1,1659342,242584,0.14619288850640796
o3_d4,4 passes,2,1380456,230509,0.16698033113695765
o3_d4,4 passes,3,1214909,216192,0.1779491303463881
o3_fix,fixpoint (cap 16),0,28311881,98827,0.003490654683099297
o3_fix,fixpoint (cap 16),1,679968,92763,0.13642259635747564
o3_fix,fixpoint (cap 16),2,550825,93835,0.17035356056823855
o3_fix,fixpoint (cap 16),3,486250,90484,0.1860853470437018
o3_fix,fixpoint (cap 16),4,445869,86519,0.1940457847484351
o3_fix,fixpoint (cap 16),5,412025,82291,0.19972331775984467
o3_fix,fixpoint (cap 16),6,385503,77736,0.2016482362004965
o3_fix,fixpoint (cap 16),7,358984,73392,0.20444365208477258
o3_fix,fixpoint (cap 16),8,341399,70189,0.20559228351576894
o3_fix,fixpoint (cap 16),9,323666,67257,0.20779754438217174
o3_fix,fixpoint (cap 16),10,307444,64118,0.20855180130365206
o3_fix,fixpoint (cap 16),11,294399,62355,0.21180438792251333
o3_fix,fixpoint (cap 16),12,281855,59520,0.2111724113462596
o3_fix,fixpoint (cap 16),13,271168,57652,0.21260620722209111
o3_fix,fixpoint (cap 16),14,260760,55522,0.21292376131308483
o3_fix,fixpoint (cap 16),15,251265,53641,0.21348377211310768
o3_d4_noaug,"4 passes, no aug (control)",0,58952644,328746,0.005576441999785455
o3_d4_noaug,"4 passes, no aug (control)",1,1643734,244060,0.14847901181091344
o3_d4_noaug,"4 passes, no aug (control)",2,1225958,211688,0.17267149445576438
o3_d4_noaug,"4 passes, no aug (control)",3,1008725,182606,0.1810265434087586
