config,seed,study,input,effective_n_loops,eval_n_loops_flag,deduce_passes,threshold,cls_threshold,augment,n_eval,correct,wrong,timeouts,accuracy,total_calls,calls_per_solve,avg_resets,unsound_rate,conflict_precision,conflict_recall
o1_scale_L1,0,O1-scale,baseline,1,1,1,0.1,0.6,True,56,0,0,56,0.0,7000,,6797.857142857143,0.0029575907104542956,0.9811206262477672,0.1238550653028537
o1_scale_L1,1,O1-scale,baseline,1,1,1,0.1,0.6,True,56,0,0,56,0.0,7000,,14067.107142857143,0.00095426046241804,0.9467488746543989,0.3063785368362546
o1_scale_L1,mean,O1-scale,baseline,1,1,1,0.1,0.6,True,56,0.0,0.0,56.0,0.0,7000.0,,10432.482142857143,0.0019559255864361677,0.9639347504510831,0.21511680106955416
o1_scale_L1,range,O1-scale,baseline,1,1,1,0.1,0.6,True,56,"[0, 0]","[0, 0]","[56, 56]","[0, 0]","[7000, 7000]",,"[6797.86, 14067.1]","[0.00095426, 0.00295759]","[0.946749, 0.981121]","[0.123855, 0.306379]"
o1_scale_L2,0,O1-scale,baseline,2,2,1,0.1,0.6,True,56,0,0,56,0.0,7000,,7645.321428571428,0.00458238309181772,0.9887723117312642,0.1456280554109778
o1_scale_L2,1,O1-scale,baseline,2,2,1,0.1,0.6,True,59,3,0,56,0.05084745762711865,7713,2571.0,10167.864406779661,0.0027300546384520117,0.9807395801211798,0.212015000102696
o1_scale_L2,mean,O1-scale,baseline,2,2,1,0.1,0.6,True,56,1.5,0.0,56.0,0.025423728813559324,7356.5,2571.0,8906.592917675545,0.003656218865134866,0.9847559459262221,0.1788215277568369
o1_scale_L2,range,O1-scale,baseline,2,2,1,0.1,0.6,True,56,"[0, 3]","[0, 0]","[56, 56]","[0, 0.0508475]","[7000, 7713]","[2571, 2571]","[7645.32, 10167.9]","[0.00273005, 0.00458238]","[0.98074, 0.988772]","[0.145628, 0.212015]"
o1_scale_L4,0,O1-scale,baseline,4,4,1,0.1,0.6,True,95,39,0,56,0.4105263157894737,8526,218.6153846153846,5238.526315789473,0.008679509549566132,0.995314353856624,0.14966884858203677
o1_scale_L4,1,O1-scale,baseline,4,4,1,0.1,0.6,True,91,36,0,55,0.3956043956043956,8040,223.33333333333334,5919.549450549451,0.0056489673897913905,0.9953068277308976,0.17959337097350772
o1_scale_L4,mean,O1-scale,baseline,4,4,1,0.1,0.6,True,95,37.5,0.0,55.5,0.40306535569693464,8283.0,220.97435897435898,5579.037883169462,0.007164238469678761,0.9953105907937608,0.16463110977777223
o1_scale_L4,range,O1-scale,baseline,4,4,1,0.1,0.6,True,95,"[36, 39]","[0, 0]","[55, 56]","[0.395604, 0.410526]","[8040, 8526]","[218.615, 223.333]","[5238.53, 5919.55]","[0.00564897, 0.00867951]","[0.995307, 0.995314]","[0.149669, 0.179593]"
o1_scale_L8,0,O1-scale,baseline,8,8,1,0.1,0.6,True,200,160,0,40,0.8,9811,61.31875,3189.28,0.007954055205067244,0.9971246575856505,0.16837353787273948
o1_scale_L8,1,O1-scale,baseline,8,8,1,0.1,0.6,True,200,171,0,29,0.855,8382,49.01754385964912,3018.97,0.00681450675585886,0.9953443220540454,0.1935989164225374
o1_scale_L8,mean,O1-scale,baseline,8,8,1,0.1,0.6,True,200,165.5,0.0,34.5,0.8275,9096.5,55.16814692982456,3104.125,0.007384280980463053,0.996234489819848,0.18098622714763846
