config,seed,carry_latent,n,correct,accuracy,wrong,timeouts,model_calls_total,avg_puzzle_calls,avg_rounds_solved,unsound_rate,conflict_precision,conflict_recall,train_post_compile_secs
baseline,0,off,1000,977,0.977,0,23,12782,99.401,77.19959058341863,0.011025165902535179,0.9991241030236064,0.14949857255544116,424.9367332039999
baseline,1,off,1000,980,0.98,0,20,11439,87.386,67.76122448979592,0.007567354937035292,0.9982053773039962,0.1666264173105833,520.1042857299998
baseline,2,off,1000,979,0.979,0,21,13500,103.414,83.18181818181819,0.008907384080279369,0.998295704570166,0.15799807905855076,514.0467170569998
carry_h,0,h,89,32,0.3595505617977528,0,57,8086,699.2921348314607,162.65625,0.000781283640878986,0.7752388349239947,0.8029211202327033,477.8603950549999
carry_h,1,h,80,24,0.3,0,56,8002,739.025,129.08333333333334,0.0006866835259745112,0.7812738574961643,0.7774408870477022,525.911587862
carry_h,2,h,79,23,0.2911392405063291,0,56,8001,731.7594936708861,77.65217391304348,0.0005659319424050948,0.7571459930177383,0.8296671831062954,562.4499450640005
carry_z,0,z,77,20,0.2597402597402597,0,57,8004,768.6623376623377,108.35,0.000556399133666482,0.7943793651080673,0.7770611011081346,497.964811631
carry_z,1,z,88,32,0.36363636363636365,0,56,8236,699.6818181818181,173.125,0.0005861257186317907,0.8001504430326071,0.7536056732268561,491.8694861400002
carry_z,2,z,124,67,0.5403225806451613,0,57,9130,550.5645161290323,167.2089552238806,0.001548088513940015,0.8436561188032488,0.6469797877298283,360.09353902699996
zero_carry_z,0,zero_z,321,247,0.7694704049844237,19,55,12872,311.94080996884736,153.6234817813765,0.03028390577161036,0.9994876229553017,0.08596852816495121,448.918747724
zero_carry_z,1,zero_z,602,518,0.8604651162790697,31,53,17498,225.86378737541528,141.17374517374517,0.019280786535200156,0.997056815131979,0.11763943510068572,489.6569795330002
zero_carry_z,2,zero_z,1000,617,0.617,363,20,16039,124.837,82.84440842787683,0.024264077205348972,0.9986672497449033,0.08793338264274765,492.5188947229999
