config,n_blanks,seed,epoch,pass_at_1,pass_at_2,pass_at_4,pass_at_8,pass_at_16,pass_at_32,malformed_samples,train_seconds
qwen3_5_0_8b_blanks1_ep16,1,0,2,0.6025390625,0.6920992943548387,0.7599598512235817,0.813204994509569,0.8497994954135837,0.875,17,731.6748449802399
qwen3_5_0_8b_blanks1_ep16,1,0,4,0.9326171875,0.9655367943548386,0.9898889390989989,0.9991930641120713,0.9999989332229754,1.0,18,731.6748449802399
qwen3_5_0_8b_blanks1_ep16,1,0,6,0.9951171875,0.9993699596774194,0.9999956548943271,1.0,1.0,1.0,0,731.6748449802399
qwen3_5_0_8b_blanks1_ep16,1,0,8,0.9931640625,0.999054939516129,0.9999869646829811,1.0,1.0,1.0,0,731.6748449802399
qwen3_5_0_8b_blanks1_ep16,1,0,10,0.9892578125,0.9982988911290323,0.9999687152391545,1.0,1.0,1.0,0,731.6748449802399
qwen3_5_0_8b_blanks1_ep16,1,0,12,0.9921875,0.9994329637096774,0.9999991309788654,1.0,1.0,1.0,0,731.6748449802399
qwen3_5_0_8b_blanks1_ep16,1,0,14,0.99609375,0.9998109879032258,1.0,1.0,1.0,1.0,0,731.6748449802399
qwen3_5_0_8b_blanks1_ep16,1,0,16,0.98828125,0.9978578629032259,0.9999382994994438,0.9999999970289876,1.0,1.0,0,731.6748449802399
qwen3_5_0_8b_blanks2_ep16,2,0,2,0.609375,0.7127016129032256,0.7794233175750834,0.8236919315621345,0.855659451756112,0.875,15,395.2366576194763
qwen3_5_0_8b_blanks2_ep16,2,0,4,0.9365234375,0.9655997983870966,0.9784421927141269,0.9872390619206526,0.9964717741935484,1.0,0,395.2366576194763
qwen3_5_0_8b_blanks2_ep16,2,0,6,0.9560546875,0.9773185483870968,0.9903225806451613,0.9978134358689142,0.9999617630700779,1.0,0,395.2366576194763
qwen3_5_0_8b_blanks2_ep16,2,0,8,0.9814453125,0.989226310483871,0.9966316740823137,0.999775444938821,0.9999999496219631,1.0,0,395.2366576194763
qwen3_5_0_8b_blanks2_ep16,2,0,10,0.9892578125,0.9965347782258065,0.999713223025584,0.9999995097829497,1.0,1.0,0,395.2366576194763
qwen3_5_0_8b_blanks2_ep16,2,0,12,0.9912109375,0.9977318548387097,0.9998905033370411,0.9999999732608882,1.0,1.0,0,395.2366576194763
qwen3_5_0_8b_blanks2_ep16,2,0,14,0.9921875,0.9982358870967742,0.9999391685205784,0.9999999970289876,1.0,1.0,0,395.2366576194763
qwen3_5_0_8b_blanks2_ep16,2,0,16,0.994140625,0.999054939516129,0.9999869646829811,1.0,1.0,1.0,0,395.2366576194763
qwen3_5_0_8b_blanks4_ep16,4,0,2,0.380859375,0.49754284274193544,0.5941462736373749,0.674510457369537,0.7410386876454246,0.78125,108,407.3211832046509
qwen3_5_0_8b_blanks4_ep16,4,0,4,0.7109375,0.8199344758064516,0.887217568131257,0.9166476254480287,0.9299190113842344,0.9375,4,407.3211832046509
qwen3_5_0_8b_blanks4_ep16,4,0,6,0.8974609375,0.9570942540322581,0.9899532466629589,0.999418216346748,0.999999739271564,1.0,0,407.3211832046509
