config,n_blanks,seed,epoch,n_train,n_eval,samples_per_puzzle,pass_at_1,pass_at_2,pass_at_4,pass_at_8,pass_at_16,pass_at_32,puzzles_passed,correct_samples,malformed_samples,total_samples,train_seconds
qwen3_5_0_8b_blanks1,1,0,1,1000,32,32,0.2109375,0.3696446572580646,0.5846687291434929,0.8010648405635894,0.9444199439258866,1.0,32,216,5,1024,81.25376057624817
qwen3_5_0_8b_blanks1,1,0,2,1000,32,32,0.6376953125,0.7538432459677419,0.8470957313681869,0.9228118939134651,0.9721048908907177,1.0,32,653,3,1024,81.25376057624817
qwen3_5_0_8b_blanks1,1,0,3,1000,32,32,0.80859375,0.9027217741935485,0.9581818339822025,0.9865406927687934,0.9990077709801013,1.0,32,828,11,1024,81.25376057624817
qwen3_5_0_8b_blanks2,2,0,1,1000,32,32,0.3583984375,0.46037046370967755,0.557904616240267,0.6487292742173164,0.7292775831428304,0.78125,25,367,8,1024,74.84017896652222
qwen3_5_0_8b_blanks2,2,0,2,1000,32,32,0.9228515625,0.9527469758064517,0.9723460094549499,0.988576864250877,0.9983801446051168,1.0,32,945,0,1024,74.84017896652222
qwen3_5_0_8b_blanks2,2,0,3,1000,32,32,0.951171875,0.9783266129032259,0.993818652669633,0.9993864799920139,0.9999989420612274,1.0,32,974,0,1024,74.84017896652222
qwen3_5_0_8b_blanks4,4,0,1,1000,32,32,0.2001953125,0.286101310483871,0.37968663097886546,0.4761621976697755,0.5626422171978526,0.625,20,205,46,1024,106.16645431518555
qwen3_5_0_8b_blanks4,4,0,2,1000,32,32,0.6708984375,0.7855342741935485,0.8665765781423804,0.9151205696262704,0.9525474653024365,0.96875,31,687,20,1024,106.16645431518555
qwen3_5_0_8b_blanks4,4,0,3,1000,32,32,0.7373046875,0.8283140120967744,0.8838648845939934,0.9031909029976325,0.9062106547532686,0.90625,29,755,10,1024,106.16645431518555
qwen3_5_0_8b_blanks8,8,0,1,1000,32,32,0.048828125,0.07869203629032256,0.12059666991101223,0.18220217085935939,0.2690709584723767,0.375,12,50,38,1024,102.23728394508362
qwen3_5_0_8b_blanks8,8,0,2,1000,32,32,0.345703125,0.46786794354838707,0.5790470314238043,0.6667864727427435,0.7407653354819976,0.8125,26,354,24,1024,102.23728394508362
qwen3_5_0_8b_blanks8,8,0,3,1000,32,32,0.3759765625,0.4788936491935485,0.5870255144605118,0.6915086533707919,0.7719384506954219,0.8125,26,385,10,1024,102.23728394508362
qwen3_5_0_8b_blanks16,16,0,1,1000,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,238,1024,107.27529835700989
qwen3_5_0_8b_blanks16,16,0,2,1000,32,32,0.0234375,0.04227570564516129,0.07131882647385984,0.11298259640341118,0.17288281262594507,0.25,8,24,31,1024,107.27529835700989
qwen3_5_0_8b_blanks16,16,0,3,1000,32,32,0.056640625,0.09929435483870966,0.16139286707452727,0.24318277430763524,0.3434904523544679,0.46875,15,58,2,1024,107.27529835700989
qwen3_5_0_8b_blanks32,32,0,1,1000,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,514,1024,107.14121675491333
qwen3_5_0_8b_blanks32,32,0,2,1000,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,285,1024,107.14121675491333
qwen3_5_0_8b_blanks32,32,0,3,1000,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,303,1024,107.14121675491333
