config,train_orders,eval_orders,train_max_order,n_seeds_done,n_eval,correct,wrong,timeout,pooled_accuracy,wrong_rate,timeout_rate,calls_per_solve
e4_all,"4,5,6,7,8","4,5,6,7,8",8,3,600,600,0,0,1.0,0.0,0.0,1.0
e4_leq5,"4,5","6,7,8,9,10",5,3,600,0,0,600,0.0,0.0,1.0,0.0
e4_leq6,"4,5,6","7,8,9,10",6,3,600,0,0,600,0.0,0.0,1.0,0.0
e4_shift95,"4,5,6,7,8","4,5,6,7,8",8,3,600,587,13,0,0.978333,0.021667,0.0,1.0221
e4_shift1k_h03_s1k,"4,5,6,7,8","4,5,6,7,8",8,1,200,103,96,1,0.515,0.48,0.005,16.1068
e4_shift1k_h03_s1k_rope,"4,5,6,7,8","4,5,6,7,8",8,1,200,94,106,0,0.47,0.53,0.0,10.5426
e4_shift1k_h03,"4,5,6,7,8","4,5,6,7,8",8,1,200,118,82,0,0.59,0.41,0.0,1.7203
e4_shift1k_h03_rope,"4,5,6,7,8","4,5,6,7,8",8,1,200,125,75,0,0.625,0.375,0.0,3.048
e4_shift1k_h06_s1k,"4,5,6,7,8","4,5,6,7,8",8,1,200,113,66,21,0.565,0.33,0.105,203.8142
e4_shift1k_h06_s1k_rope,"4,5,6,7,8","4,5,6,7,8",8,1,200,116,84,0,0.58,0.42,0.0,2.819
e4_shift1k_h06,"4,5,6,7,8","4,5,6,7,8",8,1,200,128,72,0,0.64,0.36,0.0,1.5781
e4_shift1k_h06_rope,"4,5,6,7,8","4,5,6,7,8",8,1,200,142,58,0,0.71,0.29,0.0,1.4859
e4_shift1k_h12_s1k,"4,5,6,7,8","4,5,6,7,8",8,1,200,136,64,0,0.68,0.32,0.0,2.7426
e4_shift1k_h12_s1k_rope,"4,5,6,7,8","4,5,6,7,8",8,1,200,160,40,0,0.8,0.2,0.0,1.6562
e4_shift1k_h12,"4,5,6,7,8","4,5,6,7,8",8,1,200,165,35,0,0.825,0.175,0.0,1.2121
e4_shift1k_h12_rope,"4,5,6,7,8","4,5,6,7,8",8,1,200,183,17,0,0.915,0.085,0.0,1.1148
e4_shift1k_h25_s1k,"4,5,6,7,8","4,5,6,7,8",8,1,200,162,38,0,0.81,0.19,0.0,1.821
e4_shift1k_h25_s1k_rope,"4,5,6,7,8","4,5,6,7,8",8,1,200,181,19,0,0.905,0.095,0.0,1.1657
e4_shift1k_h25,"4,5,6,7,8","4,5,6,7,8",8,1,200,187,13,0,0.935,0.065,0.0,1.1123
e4_shift1k_h25_rope,"4,5,6,7,8","4,5,6,7,8",8,1,200,200,0,0,1.0,0.0,0.0,1.0
e4_shift1k_h50_s1k,"4,5,6,7,8","4,5,6,7,8",8,1,200,177,23,0,0.885,0.115,0.0,1.4124
e4_shift1k_h50_s1k_rope,"4,5,6,7,8","4,5,6,7,8",8,1,200,190,10,0,0.95,0.05,0.0,1.0947
e4_shift95_1k,"4,5,6,7,8","4,5,6,7,8",8,1,200,188,12,0,0.94,0.06,0.0,1.0638
e4_shift1k_h50_rope,"4,5,6,7,8","4,5,6,7,8",8,1,200,196,4,0,0.98,0.02,0.0,1.0204
e4_shift1k_h12_s8k,"4,5,6,7,8","4,5,6,7,8",8,1,200,188,12,0,0.94,0.06,0.0,1.0638
e4_shift1k_h25_s8k,"4,5,6,7,8","4,5,6,7,8",8,1,200,198,2,0,0.99,0.01,0.0,1.0101
e4_shift95_1k_8k,"4,5,6,7,8","4,5,6,7,8",8,1,200,200,0,0,1.0,0.0,0.0,1.0
e4_leq5_rope,"4,5","6,7,8,9,10",5,3,600,0,0,600,0.0,0.0,1.0,0.0
