config,seed,study,kind,input,cell_policy,digit_policy,backtrack,n_eval,correct,wrong,timeouts,accuracy,model_calls_total,calls_per_solve,avg_resets,avg_puzzle_calls,seq_forwards_p50,seq_forwards_p90,unsound_rate,conflict_precision,conflict_recall,n_negations,unsound_negation_rate,conflict_depth_mean
base_1k,0,TRAIN,train,,uniform,softmax,root,192,138,0,54,0.71875,10610,76.8840579710145,3555.4895833333335,425.9791666666667,,,0.015023226062090594,0.994603096641407,0.15956054975368394,0,0.0,0.0
base_1k,1,TRAIN,train,,uniform,softmax,root,200,175,0,25,0.875,7726,44.14857142857143,2466.09,298.85,,,0.019331708990737065,0.9946668445058798,0.15863408188095757,0,0.0,0.0
base_1k,mean,TRAIN,train,,uniform,softmax,root,192,156.5,0.0,39.5,0.796875,9168.0,60.516314699792964,3010.789791666667,362.4145833333333,,,0.01717746752641383,0.9946349705736435,0.15909731581732076,0,0.0,0.0
base_1k,range,TRAIN,train,,uniform,softmax,root,192,"[138, 175]","[0, 0]","[25, 54]","[0.71875, 0.875]","[7726, 10610]","[44.1486, 76.8841]","[2466.09, 3555.49]","[298.85, 425.979]",,,"[0.0150232, 0.0193317]","[0.994603, 0.994667]","[0.158634, 0.159561]",0,"[0, 0]","[0, 0]"
train_pstar_1k,0,S2,train,,uniform,argmax,root,200,199,0,1,0.995,1821,9.150753768844222,296.96,65.605,,,0.04704629038453818,0.9992098635368484,0.08453436536905536,0,0.0,0.0
train_pstar_1k,1,S2,train,,uniform,argmax,root,200,198,0,2,0.99,1897,9.580808080808081,328.0,70.615,,,0.04304768481462886,0.9986291572297056,0.08651224751125615,0,0.0,0.0
train_pstar_1k,mean,S2,train,,uniform,argmax,root,200,198.5,0.0,1.5,0.9924999999999999,1859.0,9.36578092482615,312.48,68.11,,,0.04504698759958352,0.998919510383277,0.08552330644015575,0,0.0,0.0
train_pstar_1k,range,S2,train,,uniform,argmax,root,200,"[198, 199]","[0, 0]","[1, 2]","[0.99, 0.995]","[1821, 1897]","[9.15075, 9.58081]","[296.96, 328]","[65.605, 70.615]",,,"[0.0430477, 0.0470463]","[0.998629, 0.99921]","[0.0845344, 0.0865122]",0,"[0, 0]","[0, 0]"
s1_baseline_baseline_pol,0,S1,eval,baseline,uniform,softmax,root,200,198,0,2,0.99,2651,13.38888888888889,809.93,96.925,1780.0,15144.699999999995,0.008830426017055623,0.9986171644463102,0.16212207312440932,0,0.0,0.0
s1_baseline_baseline_pol,1,S1,eval,baseline,uniform,softmax,root,200,199,0,1,0.995,2328,11.698492462311558,736.73,75.245,1050.0,10801.5,0.008128190065054977,0.9962197820096915,0.1998573118811005,0,0.0,0.0
s1_baseline_baseline_pol,mean,S1,eval,baseline,uniform,softmax,root,200,198.5,0.0,1.5,0.9924999999999999,2489.5,12.543690675600224,773.3299999999999,86.08500000000001,1415.0,12973.099999999999,0.0084793080410553,0.9974184732280009,0.18098969250275493,0,0.0,0.0
s1_baseline_baseline_pol,range,S1,eval,baseline,uniform,softmax,root,200,"[198, 199]","[0, 0]","[1, 2]","[0.99, 0.995]","[2328, 2651]","[11.6985, 13.3889]","[736.73, 809.93]","[75.245, 96.925]","[1050, 1780]","[10801.5, 15144.7]","[0.00812819, 0.00883043]","[0.99622, 0.998617]","[0.162122, 0.199857]",0,"[0, 0]","[0, 0]"
s1_baseline_mrv_softmax,0,S1,eval,baseline,mrv,softmax,root,200,200,0,0,1.0,1419,7.095,276.93,53.74,876.0,6953.099999999996,0.013269711351227592,0.997020907810638,0.10278589018377159,0,0.0,0.0
s1_baseline_mrv_softmax,1,S1,eval,baseline,mrv,softmax,root,200,200,0,0,1.0,1166,5.83,265.32,44.38,587.5,6544.5999999999985,0.01119865029104943,0.9960802050354289,0.12584192619857673,0,0.0,0.0
s1_baseline_mrv_softmax,mean,S1,eval,baseline,mrv,softmax,root,200,200.0,0.0,0.0,1.0,1292.5,6.4625,271.125,49.06,731.75,6748.849999999997,0.012234180821138512,0.9965505564230335,0.11431390819117415,0,0.0,0.0
s1_baseline_mrv_softmax,range,S1,eval,baseline,mrv,softmax,root,200,"[200, 200]","[0, 0]","[0, 0]","[1, 1]","[1166, 1419]","[5.83, 7.095]","[265.32, 276.93]","[44.38, 53.74]","[587.5, 876]","[6544.6, 6953.1]","[0.0111987, 0.0132697]","[0.99608, 0.997021]","[0.102786, 0.125842]",0,"[0, 0]","[0, 0]"
s1_baseline_mrv_argmax,0,S1,eval,baseline,mrv,argmax,root,200,192,0,8,0.96,2905,15.130208333333334,355.45,95.84,642.5,11098.999999999993,0.029593750815802084,0.996849064566043,0.0672243876942166,0,0.0,0.0
s1_baseline_mrv_argmax,1,S1,eval,baseline,mrv,argmax,root,200,194,0,6,0.97,2576,13.278350515463918,385.245,89.38,606.0,13385.399999999992,0.02496690641285211,0.9985463795766331,0.08099825237403407,0,0.0,0.0
s1_baseline_mrv_argmax,mean,S1,eval,baseline,mrv,argmax,root,200,193.0,0.0,7.0,0.965,2740.5,14.204279424398626,370.34749999999997,92.61,624.25,12242.199999999993,0.027280328614327096,0.9976977220713381,0.07411132003412534,0,0.0,0.0
s1_baseline_mrv_argmax,range,S1,eval,baseline,mrv,argmax,root,200,"[192, 194]","[0, 0]","[6, 8]","[0.96, 0.97]","[2576, 2905]","[13.2784, 15.1302]","[355.45, 385.245]","[89.38, 95.84]","[606, 642.5]","[11099, 13385.4]","[0.0249669, 0.0295938]","[0.996849, 0.998546]","[0.0672244, 0.0809983]",0,"[0, 0]","[0, 0]"
s1_baseline_mrv_rankk,0,S1,eval,baseline,mrv,rank_k,root,132,78,0,54,0.5909090909090909,9764,125.17948717948718,7673.818181818182,556.9318181818181,42688.0,64000.0,0.0019286589427726737,0.9995172487324077,0.3002536477620545,0,0.0,0.0
s1_baseline_mrv_rankk,1,S1,eval,baseline,mrv,rank_k,root,124,69,0,55,0.5564516129032258,8729,126.5072463768116,7459.943548387097,530.8467741935484,31844.0,64000.0,0.0018373540158131427,0.9992940792382542,0.31237201053788355,0,0.0,0.0
